parentR,childR
http://ru.wikipedia.org/wiki/Национальное_географическое_общество,http://ru.wikipedia.org/wiki/Nat_Geo_Wild
http://ru.wikipedia.org/wiki/Wells_Fargo,http://ru.wikipedia.org/wiki/Wachovia_Corp.
http://ru.wikipedia.org/wiki/MAN,http://ru.wikipedia.org/wiki/Sinotruk_(Гонконг)
http://ru.wikipedia.org/wiki/Yle,http://ru.wikipedia.org/wiki/YLE_TV2
http://ru.wikipedia.org/wiki/Роснефть,http://ru.wikipedia.org/wiki/ТНК-BP
http://ru.wikipedia.org/wiki/Ростех,http://ru.wikipedia.org/wiki/Yota
http://ru.wikipedia.org/wiki/Time_Warner,http://ru.wikipedia.org/wiki/Warner_Bros._Interactive_Entertainment
http://ru.wikipedia.org/wiki/Luxottica,http://ru.wikipedia.org/wiki/Persol
http://ru.wikipedia.org/wiki/Исполнительная_власть_в_Японии,http://ru.wikipedia.org/wiki/Japan_Post_Holdings
http://ru.wikipedia.org/wiki/Польское_телевидение,http://ru.wikipedia.org/wiki/TVP1
http://ru.wikipedia.org/wiki/Geox,http://ru.wikipedia.org/wiki/Diadora
http://ru.wikipedia.org/wiki/Fiat,http://ru.wikipedia.org/wiki/Alfa_Romeo
http://ru.wikipedia.org/wiki/General_Motors,http://ru.wikipedia.org/wiki/Chevrolet
http://ru.wikipedia.org/wiki/General_Motors,http://ru.wikipedia.org/wiki/Buick
http://ru.wikipedia.org/wiki/General_Motors,http://ru.wikipedia.org/wiki/Cadillac
http://ru.wikipedia.org/wiki/Time_Warner,http://ru.wikipedia.org/wiki/CNN
http://ru.wikipedia.org/wiki/Westinghouse_Electric,http://ru.wikipedia.org/wiki/CBS
http://ru.wikipedia.org/wiki/ThyssenKrupp,http://ru.wikipedia.org/wiki/Blohm_+_Voss
http://ru.wikipedia.org/wiki/Би-би-си,http://ru.wikipedia.org/wiki/BBC_World_News
http://ru.wikipedia.org/wiki/Би-би-си,http://ru.wikipedia.org/wiki/BBC_World_Service
http://ru.wikipedia.org/wiki/CBS_Corporation,http://ru.wikipedia.org/wiki/CBS
http://ru.wikipedia.org/wiki/Fiat,http://ru.wikipedia.org/wiki/Maserati
http://ru.wikipedia.org/wiki/The_Walt_Disney_Company,http://ru.wikipedia.org/wiki/Диснейуорлд
http://ru.wikipedia.org/wiki/Нижняя_Саксония,http://ru.wikipedia.org/wiki/Volkswagen_(концерн)
http://ru.wikipedia.org/wiki/Porsche,http://ru.wikipedia.org/wiki/Volkswagen_(концерн)
http://ru.wikipedia.org/wiki/Time_Warner,"http://ru.wikipedia.org/wiki/Turbine,_Inc."
http://ru.wikipedia.org/wiki/The_Capital_Group_Companies,http://ru.wikipedia.org/wiki/Volkswagen_(концерн)
"http://ru.wikipedia.org/wiki/Макмэн,_Винс",http://ru.wikipedia.org/wiki/WWE
http://ru.wikipedia.org/wiki/MGM_Holdings,http://ru.wikipedia.org/wiki/Metro-Goldwyn-Mayer
