parentR,childR
http://ru.wikipedia.org/wiki/20th_Century_Fox,http://ru.wikipedia.org/wiki/Blue_Sky_Studios
http://ru.wikipedia.org/wiki/20th_Century_Fox,http://ru.wikipedia.org/wiki/Fox_Searchlight_Pictures
http://ru.wikipedia.org/wiki/2K_Games,http://ru.wikipedia.org/wiki/2K_Marin
http://ru.wikipedia.org/wiki/2K_Games,http://ru.wikipedia.org/wiki/Firaxis_Games
http://ru.wikipedia.org/wiki/2K_Games,http://ru.wikipedia.org/wiki/2K_Czech
http://ru.wikipedia.org/wiki/2K_Games,http://ru.wikipedia.org/wiki/2K_Sports
http://ru.wikipedia.org/wiki/2K_Games,http://ru.wikipedia.org/wiki/Irrational_Games
http://ru.wikipedia.org/wiki/A.P._Moller-Maersk_Group,http://ru.wikipedia.org/wiki/Maersk_Air
http://ru.wikipedia.org/wiki/ABC-CLIO,http://ru.wikipedia.org/wiki/Greenwood_Publishing_Group
http://ru.wikipedia.org/wiki/ABN_AMRO,http://ru.wikipedia.org/wiki/Algemene_Bank_Nederland
http://ru.wikipedia.org/wiki/ABN_AMRO,http://ru.wikipedia.org/wiki/AMRO_Bank
http://ru.wikipedia.org/wiki/Accor,http://ru.wikipedia.org/wiki/Novotel
http://ru.wikipedia.org/wiki/Acer,http://ru.wikipedia.org/wiki/Packard_Bell
http://ru.wikipedia.org/wiki/Activision,http://ru.wikipedia.org/wiki/Sierra_Entertainment
http://ru.wikipedia.org/wiki/Activision,http://ru.wikipedia.org/wiki/Raven_Software
http://ru.wikipedia.org/wiki/Activision,http://ru.wikipedia.org/wiki/Infinity_Ward
http://ru.wikipedia.org/wiki/Activision,http://ru.wikipedia.org/wiki/Radical_Entertainment
http://ru.wikipedia.org/wiki/Activision,http://ru.wikipedia.org/wiki/High_Moon_Studios
http://ru.wikipedia.org/wiki/Activision,http://ru.wikipedia.org/wiki/Bizarre_Creations
http://ru.wikipedia.org/wiki/Activision,http://ru.wikipedia.org/wiki/Sledgehammer_Games
http://ru.wikipedia.org/wiki/Activision,http://ru.wikipedia.org/wiki/Toys_For_Bob
http://ru.wikipedia.org/wiki/Activision,http://ru.wikipedia.org/wiki/FUN_Labs
http://ru.wikipedia.org/wiki/Activision,http://ru.wikipedia.org/wiki/Neversoft
http://ru.wikipedia.org/wiki/Activision,http://ru.wikipedia.org/wiki/Treyarch
http://ru.wikipedia.org/wiki/Activision_Blizzard,http://ru.wikipedia.org/wiki/Activision
http://ru.wikipedia.org/wiki/Activision_Blizzard,http://ru.wikipedia.org/wiki/Blizzard_Entertainment
http://ru.wikipedia.org/wiki/Adidas,http://ru.wikipedia.org/wiki/Reebok
http://ru.wikipedia.org/wiki/Aegean_Airlines,http://ru.wikipedia.org/wiki/Olympic_Air
http://ru.wikipedia.org/wiki/Aeropro,http://ru.wikipedia.org/wiki/Aeropro
http://ru.wikipedia.org/wiki/AG_Vulcan_Stettin,http://ru.wikipedia.org/wiki/NV_Ingenieurskantoor_voor_Scheepsbouw
http://ru.wikipedia.org/wiki/AG_Weser,http://ru.wikipedia.org/wiki/NV_Ingenieurskantoor_voor_Scheepsbouw
http://ru.wikipedia.org/wiki/Agrokor,http://ru.wikipedia.org/wiki/Konzum
http://ru.wikipedia.org/wiki/Agrokor,http://ru.wikipedia.org/wiki/Jamnica
http://ru.wikipedia.org/wiki/Air_Berlin,http://ru.wikipedia.org/wiki/Niki
http://ru.wikipedia.org/wiki/Air_China,http://ru.wikipedia.org/wiki/Air_China_Cargo
http://ru.wikipedia.org/wiki/Air_China,http://ru.wikipedia.org/wiki/Shandong_Airlines
http://ru.wikipedia.org/wiki/Air_China,http://ru.wikipedia.org/wiki/Air_Macau
http://ru.wikipedia.org/wiki/Air_China,http://ru.wikipedia.org/wiki/Shenzhen_Airlines
http://ru.wikipedia.org/wiki/Air_Fiji,http://ru.wikipedia.org/wiki/Airlines_Tonga
http://ru.wikipedia.org/wiki/Air_Greenland,http://ru.wikipedia.org/wiki/Arctic_Umiaq_Line
http://ru.wikipedia.org/wiki/Air_India,http://ru.wikipedia.org/wiki/Air-India_Express
http://ru.wikipedia.org/wiki/Airbus,http://ru.wikipedia.org/wiki/Airbus_Military
http://ru.wikipedia.org/wiki/Airlink,http://ru.wikipedia.org/wiki/Swaziland_Airlink
http://ru.wikipedia.org/wiki/Alaska_Air_Group,http://ru.wikipedia.org/wiki/Alaska_Airlines
http://ru.wikipedia.org/wiki/Alaska_Air_Group,http://ru.wikipedia.org/wiki/Horizon_Air
http://ru.wikipedia.org/wiki/Alcatel-Lucent,http://ru.wikipedia.org/wiki/Bell_Labs
http://ru.wikipedia.org/wiki/Alitalia,http://ru.wikipedia.org/wiki/Air_One
http://ru.wikipedia.org/wiki/Alitalia,http://ru.wikipedia.org/wiki/Alitalia_Express
http://ru.wikipedia.org/wiki/Allianz,http://ru.wikipedia.org/wiki/Euler_Hermes
http://ru.wikipedia.org/wiki/Allianz,http://ru.wikipedia.org/wiki/Pimco
http://ru.wikipedia.org/wiki/Alticor,http://ru.wikipedia.org/wiki/Amway
http://ru.wikipedia.org/wiki/Amazon.com,http://ru.wikipedia.org/wiki/Double_Helix_Games
http://ru.wikipedia.org/wiki/Amazon.com,http://ru.wikipedia.org/wiki/Lab126
http://ru.wikipedia.org/wiki/Amazon.com,http://ru.wikipedia.org/wiki/Alexa_Internet
http://ru.wikipedia.org/wiki/Amazon.com,http://ru.wikipedia.org/wiki/Reflexive_Entertainment
http://ru.wikipedia.org/wiki/Amer_Sports,http://ru.wikipedia.org/wiki/Salomon_Sports
http://ru.wikipedia.org/wiki/Amer_Sports,http://ru.wikipedia.org/wiki/Atomic
http://ru.wikipedia.org/wiki/Amer_Sports,http://ru.wikipedia.org/wiki/Wilson_Sporting_Goods
http://ru.wikipedia.org/wiki/AMR_Corporation,http://ru.wikipedia.org/wiki/Trans_World_Airlines
http://ru.wikipedia.org/wiki/AMR_Corporation,http://ru.wikipedia.org/wiki/AmericanConnection
http://ru.wikipedia.org/wiki/AMR_Corporation,http://ru.wikipedia.org/wiki/Executive_Airlines
http://ru.wikipedia.org/wiki/Anheuser-Busch_InBev,http://ru.wikipedia.org/wiki/Anheuser-Busch
http://ru.wikipedia.org/wiki/Aniplex,http://ru.wikipedia.org/wiki/A-1_Pictures
http://ru.wikipedia.org/wiki/AOL,http://ru.wikipedia.org/wiki/The_Huffington_Post
http://ru.wikipedia.org/wiki/AOL,http://ru.wikipedia.org/wiki/Netscape_Communications
http://ru.wikipedia.org/wiki/Apple,http://ru.wikipedia.org/wiki/FingerWorks
http://ru.wikipedia.org/wiki/ArcelorMittal,http://ru.wikipedia.org/wiki/Криворожсталь
http://ru.wikipedia.org/wiki/Armada_Music,http://ru.wikipedia.org/wiki/Armind
http://ru.wikipedia.org/wiki/Armada_Music,http://ru.wikipedia.org/wiki/A_State_of_Trance_(лейбл)
http://ru.wikipedia.org/wiki/Armada_Music,http://ru.wikipedia.org/wiki/Aropa_Records
http://ru.wikipedia.org/wiki/Armstrong_Whitworth,http://ru.wikipedia.org/wiki/Vickers-Armstrongs
http://ru.wikipedia.org/wiki/Ashok_Leyland,http://ru.wikipedia.org/wiki/Optare
http://ru.wikipedia.org/wiki/Asiana_Airlines,http://ru.wikipedia.org/wiki/Air_Busan
http://ru.wikipedia.org/wiki/AT&T,http://ru.wikipedia.org/wiki/AT&T_Mobility
http://ru.wikipedia.org/wiki/AT&T_Mobility,http://ru.wikipedia.org/wiki/Alltel
http://ru.wikipedia.org/wiki/Atlas_Air,http://ru.wikipedia.org/wiki/Polar_Air_Cargo
http://ru.wikipedia.org/wiki/Auchan,http://ru.wikipedia.org/wiki/Atac
http://ru.wikipedia.org/wiki/Audi,http://ru.wikipedia.org/wiki/Lamborghini
http://ru.wikipedia.org/wiki/Austal,http://ru.wikipedia.org/wiki/Austal_USA
http://ru.wikipedia.org/wiki/Austrian_Airlines,http://ru.wikipedia.org/wiki/Lauda_Air
