parentR,childR
http://ru.wikipedia.org/wiki/The_Walt_Disney_Company,http://ru.wikipedia.org/wiki/American_Broadcasting_Company
http://ru.wikipedia.org/wiki/Министерство_здравоохранения_и_социальных_служб_США,http://ru.wikipedia.org/wiki/Национальные_институты_здравоохранения_США
http://ru.wikipedia.org/wiki/Группа_Всемирного_банка,http://ru.wikipedia.org/wiki/Международный_банк_реконструкции_и_развития
http://ru.wikipedia.org/wiki/Группа_Всемирного_банка,http://ru.wikipedia.org/wiki/Международная_финансовая_корпорация
http://ru.wikipedia.org/wiki/Группа_Всемирного_банка,http://ru.wikipedia.org/wiki/Многостороннее_агентство_по_инвестиционным_гарантиям
http://ru.wikipedia.org/wiki/Группа_Всемирного_банка,http://ru.wikipedia.org/wiki/Международная_ассоциация_развития
http://ru.wikipedia.org/wiki/Президент_Украины,http://ru.wikipedia.org/wiki/Государственная_служба_специальной_связи_и_защиты_информации_Украины
http://ru.wikipedia.org/wiki/Национал-социалистическая_немецкая_рабочая_партия,http://ru.wikipedia.org/wiki/Штурмовые_отряды
http://ru.wikipedia.org/wiki/Министерство_торговли_США,http://ru.wikipedia.org/wiki/Национальное_управление_океанических_и_атмосферных_исследований
http://ru.wikipedia.org/wiki/Индийская_организация_космических_исследований,http://ru.wikipedia.org/wiki/Космический_центр_имени_Сатиша_Дхавана
http://ru.wikipedia.org/wiki/Римско-католическая_церковь,http://ru.wikipedia.org/wiki/Пиаристы
http://ru.wikipedia.org/wiki/Высшие_федеральные_органы_государственной_власти_США,http://ru.wikipedia.org/wiki/Исполнительный_офис_Президента_США
http://ru.wikipedia.org/wiki/НАСА,http://ru.wikipedia.org/wiki/Исследовательский_центр_Эймса
http://ru.wikipedia.org/wiki/Министерство_генерального_прокурора_Австралии,http://ru.wikipedia.org/wiki/Австралийская_служба_безопасности_и_разведки
http://ru.wikipedia.org/wiki/Американское_онкологическое_общество,http://ru.wikipedia.org/wiki/Эстафета_ради_жизни
http://ru.wikipedia.org/wiki/Правительство_Польши,http://ru.wikipedia.org/wiki/Министерство_труда_и_социальной_политики_Республики_Польша
http://ru.wikipedia.org/wiki/Общие_СС,http://ru.wikipedia.org/wiki/Служба_безопасности_(СД)
http://ru.wikipedia.org/wiki/Общие_СС,http://ru.wikipedia.org/wiki/Главное_управление_СС_по_вопросам_расы_и_поселения
http://ru.wikipedia.org/wiki/Главное_управление_имперской_безопасности,http://ru.wikipedia.org/wiki/Служба_безопасности_(СД)
http://ru.wikipedia.org/wiki/Федеральная_служба_по_гидрометеорологии_и_мониторингу_окружающей_среды_России,http://ru.wikipedia.org/wiki/Гидрометцентр
