"Национальное_географическое_общество","Nat_Geo_Wild"
"Wells_Fargo","Wachovia"
"MAN","Sinotruk_(Гонконг)"
"Yle","YLE_TV2"
"Роснефть","ТНК-BP"
"Ростех","Yota"
"Time_Warner","Warner_Bros._Interactive_Entertainment"
"Luxottica","Persol"
"Исполнительная_власть_в_Японии","Japan_Post_Holdings"
"Польское_телевидение","TVP1"
"Geox","Diadora"
"Fiat","Alfa_Romeo"
"General_Motors","Chevrolet"
"General_Motors","Buick"
"General_Motors","Cadillac"
"Time_Warner","CNN"
"Westinghouse_Electric","CBS"
"ThyssenKrupp","Blohm_+_Voss"
"Би-би-си","BBC_World_News"
"Би-би-си","BBC_World_Service"
"CBS_Corporation","CBS"
"Fiat","Maserati"
"The_Walt_Disney_Company","Диснейуорлд"
"Нижняя_Саксония","Volkswagen_(концерн)"
"Porsche","Volkswagen_(концерн)"
"The_Capital_Group_Companies","Volkswagen_(концерн)"
"MGM_Holdings","Metro-Goldwyn-Mayer"
"Activision_Blizzard","Sierra_Entertainment"
"CBS_Corporation","UPN"
"Toshiba","Toshiba_Samsung_Storage_Technology_Corporation"
"Манчестер_Юнайтед","MUTV"
"TeliaSonera","Elion"
"Modern_Times_Group","TV6_Latvia"
"Yle","Yle_TV1"
"Ubisoft","Ubisoft_Red_Storm"
"Samsung_Electronics","Toshiba_Samsung_Storage_Technology_Corporation"
"Pernod_Ricard","Martell_(коньяк)"
"STX_Finland","Arctech_Helsinki_Shipyard"
"Правительство_Российской_Федерации","Всероссийская_государственная_телевизионная_и_радиовещательная_компания"
"Take-Two_Interactive","Rockstar_Japan"
"Take-Two_Interactive","Rockstar_Vienna"
"Объединённая_судостроительная_корпорация","Arctech_Helsinki_Shipyard"
"SNCF","SeaFrance"
"Citigroup","Banco_de_Chile"
"Take-Two_Interactive","Rockstar_Lincoln"
"Schneider_Electric","Vijeo_Citect"
"Thomson_Reuters","Рейтер"
"Би-би-си","BBC_Arabic_Television"
"Fujitsu","Fujitsu_Technology_Solutions"
"Организация_Объединённых_Наций","Радио_ООН"
"Государственный_строй_Греции","Греческая_почта"
"Sony","Guerrilla_Cambridge"
"Electronic_Arts","EA_Montreal"
"Viacom","MTV_Networks_Asia_Pacific"
"Yahoo!","Tumblr"
"Правительство_Российской_Федерации","РусГидро"
"Westdeutscher_Rundfunk","WDR_Fernsehen"
"Fiat","Chrysler"
"Volkswagen_(концерн)","Audi"
"Volkswagen_(концерн)","Ducati"
"Национальный_банк_Украины","БТБ"
"Audi","Ducati"
"Renault","АвтоВАЗ"
"Hewlett-Packard","Compaq"
"Sony_Music_Entertainment","Vevo"
"Universal_Music_Group","Vevo"
"Правительство_Австралии","Australian_Broadcasting_Corporation"
"Google_(компания)","Vevo"
"Apple","NeXT"
"General_Motors","Hummer"
"Microsoft","Lionhead_Studios"
"Toyota","Lexus"
"Renault","Nissan"
"Electronic_Arts","Maxis"
"Tata_Motors","Land_Rover"
"Viacom","Paramount_Pictures"
"NBC_Universal","NBC"
"Stichting_INGKA_Foundation","IKEA"
"Sumitomo_Mitsui_Banking_Corporation","Mazda"
"Ford","Mazda"
"Oracle","Sun_Microsystems"
"Правительство_Швеции","TeliaSonera"
"Kyocera","Taito_Corporation"
"Digia","Qt_Development_Frameworks"
"Square_Enix","Taito_Corporation"
"Microsoft_Studios","Bungie"
"Правительство_Российской_Федерации","Почта_России"
"Activision_Blizzard","Raven_Software"
"Систем_Кэпитал_Менеджмент","Метинвест"
"Национальная_государственная_телерадиокомпания_Республики_Беларусь","Беларусь 1"
"Порше_(род)","Porsche"
"Volkswagen_(концерн)","MAN_Truck_&_Bus"
"Российский_алюминий","Богучанский_алюминиевый_завод"
"MTV_Networks_Asia_Pacific","MTV_Mandarin"
"РусГидро","Богучанский_алюминиевый_завод"
"Ubisoft","Ubisoft_Toronto"
"France_Telecom","Orange"
"The_Walt_Disney_Company","Диснейленд_(Париж)"
"The_Walt_Disney_Company","Miramax_Films"
"The_Walt_Disney_Company","ESPN"
"Hearst_Corporation","ESPN"
"The_Capital_Group_Companies","Amazon.com"
"Electronic_Arts","BioWare"
"Государственный_строй_Норвегии","Telenor"
"The_Walt_Disney_Company","ABC_Family"
"Hearst_Corporation","A&E"
"DAF_Trucks","Tatra"
"Time_Warner","Boomerang"
"Bloomberg","Bloomberg_Television"
"News_Corporation","ABC_Family"
"Высшие_федеральные_органы_государственной_власти_США","Голос_Америки"
"NBC_Universal","USA_Network"
"JPMorgan_Chase","Carlson_Wagonlit_Travel"
"Публичная_компания","Construcciones_y_Auxiliar_de_Ferrocarriles"
"Take-Two_Interactive","2K_Marin"
"Cartoon_Network","Boomerang"
"Телекомпания_CBN","ABC_Family"
"Daimler","Freightliner"
"Государственный_строй_Ирана","IRNA"
"Time_Warner","HBO"
"IGN","GameSpy"
"Electronic_Arts","EA_Canada"
"Государственное_предприятие","Литовское_национальное_радио_и_телевидение"
"Universal_Music_Group","CUBE_Entertainment"
"Activision_Blizzard","Infinity_Ward"
